No.,年月日,目撃年月日,時間,目撃市町村,場所,天候,目撃時のクマ,目撃時の目撃者の行動,目撃した環境,その後の対応,人身被害の有無,推定年齢,目撃頭数,注意事項,緯度,経度
54,2026/6/2,2026年6月2日.,6：30～7：00,市川三郷町,中山地内,晴れ,目撃者が市川方面から精進湖線方面に進んでいたところ、左手の山側から熊が道路を横断し、右手の川のほうへ降りて行った,通勤中の住民,近くに民家がある山と川に挟まれている県道,防災無線による注意喚起を行い、警察・猟友会・担当職員によるパトロールを実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.5408444,138.5439166
55,2026/6/2,2026年6月2日.,9:30,甲府市,心経寺町,晴れ,クマの糞を発見,不明,山間部の集落内,パトロール実施、注意喚起看板を設置,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.57407,138.60466
56,2026/6/2,2026年6月2日.,21:20,富士河口湖町,小立,曇り,繁みの中へ入っていった,男性ドライバー,幹線道路近くの森林,パトカー巡回、該当地区へ防災無線放送,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.490262,138.750199
57,2026/6/3,2026年6月3日.,7:50,甲府市,下帯那町,晴れ,山間部の市道を横切り、南から山へ逃げていった,不明,山間部の公道内,パトロール実施、注意喚起看板を設置,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.71113,138.55866
58,2026/6/3,2026年6月3日.,19:30,都留市,大幡地内,晴れ,大幡川河原を西方向に歩いていた,付近住民,河原,市HPにて注意喚起、警察・猟友会・市とで情報共有,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.565177,138.859389
59,2026/6/4,2026年6月4日.,11:10,南部町,楮根,曇り,土手沿いを歩いているところを発見。その後富士川側へ逃げた,草刈り業者,田んぼ沿いの土手,ＦＭ告知端末による注意喚起、警察署へ連絡、猟友会に連絡、学校教育課に連絡,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.26218,138.470363
60,2026/6/4,2026年6月4日.,18:20,北杜市,須玉町若神子地内,曇り,畑にクマらしき動物の足跡があるのを発見,市民,畑,防災無線及び市HPによる周知、関係機関への情報共有。箱わなの設置及びパトロールの実施,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.79081,138.40695
61,2026/6/5,2026年6月5日.,12:00,笛吹市,芦川町上芦川地内,晴れ,笛吹市芦川町上芦川地内、すずらん群生地の向かいの山中で目撃、山に立ち去った,一般市民,山林内,パトロール実施,無し,オトナ,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.5593415,138.735079
62,2026/6/5,2026年6月5日.,17:55,富士河口湖町,河口,曇り,道路を横断していた,運転者,山林内の国道付近,特になし,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.545171,138.771371
63,2026/6/7,2026年6月7日.,11:30,忍野村,忍野村内野,曇り,周りに参加者がいない状態で最終ランナーが目撃しその場所をすぐに離れたので不明,イベント参加者,林道,最終ランナーは猟友会が保護して本部に送迎した、猟友会へ情報提供、イベント本部周辺に注意喚起,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.447819,138.885054
64,2026/6/7,2026年6月7日.,21:15,北杜市,長坂町長坂上条,晴れ,長坂牛池からキッツ長坂工場のほうへ歩いて行った,近隣住民,道路上,防災無線による周知、各関係機関への情報共有警察及び市職員によるパトロールの実施、箱わなの設置,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.83107,138.37555
65,2026/6/8,2026年6月8日.,2:00,甲府市,古関町,曇り,山林の法面で目撃され、山林へ逃げていった,工事作業員,山間部の山林の法面,特段の対応はなし,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.556441,138.593139
66,2026/6/8,2026年6月8日.,18:20,市川三郷町,市川大門地内,晴れ,会社から約30ｍ程の西の山肌を見たところクマが動いているのが見えた。クマは西に山を登って行った,近隣会社の従業員,市川公園付近の県道四尾連湖公園線に面した山林,防災無線による注意喚起を行い、警察・猟友会・担当職員によるパトロールを実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.551578,138.497774
67,2026/6/9,2026年6月9日.,19:30,甲府市,城東1丁目,曇り,自転車で移動中に中・大型動物に追い抜かれた,通行人（自転車）,市街地,パトロール実施、防災無線・看板による注意喚起,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.662064,138.579523
68,2026/6/10,2026年6月10日.,11:30,北杜市,須玉町比志,晴れ,水路の清掃作業中、道路向かいのフェンスにクマが張り付いているのを目撃,近隣住民,山間部の農地,防災無線による周知、各関係機関への情報共有、警察及び市職員によるパトロールの実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.851722,138.498278
69,2026/6/11,2026年6月11日.,10:30,北杜市,高根町清里,晴れ,現場調査中物音がした為、音の方を見たところ、熊を目撃。その後、沢づたいに南側に逃走,市職員,山間部,防災無線による周知、各関係機関及び警察へ情報共有。市職員によるパトロールの実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.88018,138.43264
70,2026/6/11,2026年6月11日.,22:00,富士河口湖,小立,曇り,道を横切って林に入っていった,運転者,林内の町道,特になし,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.4853,138.7477
71,2026/6/12,2026年6月12日.,9:30,笛吹市,芦川町新井原地内,晴れ,笛吹市芦川町上芦川地内の芦川ヘリポート付近の道路上で目撃、新井原方面に立ち去った,一般市民,山間部の公道,防災無線による注意喚起、パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.5563486,138.683541
72,2026/6/13,2026年6月13日.,14:00,富士吉田市,上吉田地内,曇り,徒歩で富士山方面へ通行中、道路を西側から東側に横断し森林に入っていったところを目撃した,登山者,山間部の公道,防災無線による注意喚起、市職員・猟友会によるパトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.447632,138.774658
73,2026/6/13,2026年6月13日.,14:50,都留市,大幡地内,曇り,県道大幡初狩線東側脇に佇んていた,通行者,山中,防災無線による注意喚起、警察署・猟友会・市とで情報共有,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.570736,138.860733
74,2026/6/14,2026年6月14日.,8:00,小菅村,中組地区,晴れ,目撃はしていないが、養蜂している箱が壊されていた,住民,民家裏（養蜂場）,村内LINEによる注意喚起,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.752229,138.953184
75,2026/6/14,2026年6月14日.,13:45,身延町,小田船原地内,晴れ,山へ逃げて行った,通行者,山間部,防災無線による注意喚起,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.355709,138.421691
76,2026/6/15,2026年6月15日.,8:30,南アルプス市,東南湖地内,曇り,南アルプス市東南湖地内、横川、石丸橋近辺でクマの足跡らしきものを発見。足跡は東から西に向かっており、目撃者によると6/14夜～6/15早朝にかけてついたものであるとのこと,付近の田んぼ所有者,市街地付近の畑,関係各所への連絡、パトロール実施,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.5782396,138.4945054
77,2026/6/15,2026年6月15日.,16:00,上野原市,西原地区腰掛地内,晴れ,目撃者（近隣住民）が子グマを道路上で発見し、山側に逃げていくのを目撃した。付近のキャンプ場に連絡を入れ、キャンプ場から市に連絡があった,近隣住民,山間部の公道,防災無線等による注意喚起、周辺パトロール,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.68771328,139.0326256
78,2026/6/15,2026年6月15日.,17:00,忍野村,忍野村忍草,晴れ,養蜂箱が破壊されていた,養蜂営業者,山林,養蜂箱の破損の確認をして、村に被害報告をして、から電気柵を設置した,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.456681,138.807248
79,2026/6/16,2026年6月16日.,5:20,上野原市,上野原地区八米地内,晴れ,河川を上ってきて脇の沢に逃げていった,鵜の調査をしていた市民,河川,防災無線等による注意喚起、周辺パトロール,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.640689,139.09795
80,2026/6/16,2026年6月16日.,7:30,鳴沢村,富士桜高原パークヴィラ,晴れ,クマのフン,監理事務所職員,別荘地内,防災無線による注意喚起、HPでの注意喚起、パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.461068,138.721621
81,2026/6/16,2026年6月16日.,18:30,市川三郷町,下芦川地内,晴れ,目撃者が山際の畑で農作業していたところ、山側から物音がしたため、注意してみていたらクマが山を登って行った,近隣耕作者,県道笛吹市川三郷線と山に挟まれた畑,防災無線による注意喚起を行い、警察・担当職員によるパトロールを実施。,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.5349816,138.5829354
82,2026/6/16,2026年6月16日.,19:00,韮崎市,大草町地内,晴れ,クマらしき足跡を確認,近隣住民,農地,防災無線による注意喚起、関係施設等へ直接連絡、地元猟友会に情報共有しパトロールを実施予定,無,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.698591,138.447365
83,2026/6/17,2026年6月17日.,7:30,身延町,北川地内,晴れ,道路付近にいた,通行者,山間部の集落,防災無線による注意喚起、警察によるパトロール,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.465206,138.497707
84,2026/6/17,2026年6月17日.,11:55,丹波山村,御祭付近,晴れ,国道４１１号を走行中、目の前をクマが、山側から川側へと国道を横断した,通行人（二輪車）,山間部の公道,防災無線による注意喚起、パトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.78589872,138.966533
85,2026/6/17,2026年6月17日.,17:00,小菅村,鶴峠付近,晴れ,車を走行中にクマを目撃。奈良倉山方面へ逃げていった,住民,上野原丹波山線１８号沿い,村内LINEによる注意喚起,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.734948,138.972328
86,2026/6/18,2026年6月18日.,8:40,甲府市,古関町,雨,大型獣の糞を発見,,山間部の畑,パトロール実施、注意喚起、施設の利用制限,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.532823,138.606472
87,2026/6/19,2026年6月19日.,5:00,都留市,大幡地内,晴れ,大幡川河原に佇んでいた,付近住民,河原,防災無線による注意喚起、警察署・猟友会・市とで情報共有,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.565649,138.858529
88,2026/6/19,2026年6月19日.,7:00,山中湖村,平野地区,晴れ,親子でいた,近隣住民,市街地（林地に隣接）,防災無線による注意喚起、HP掲載、パトロール実施,無し,オトナ・コドモ,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.4405103,138.9208205
89,2026/6/19,2026年6月19日.,17:30,山中湖村,平野地区,晴れ,近隣の飲食店から目撃。東の山方面に行った,観光客,市街地（林地に隣接）,防災無線による注意喚起、HP掲載、パトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.43505996,138.9153386
90,2026/6/19,2026年6月19日.,20:30,北杜市,長坂町日野,晴れ,車を運転中、熊野神社方面から南へ道路を渡っていった,近隣住民,道路上,各関係機関への情報共有。警察・林政課によるパトロールの実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.80379,138.36441
91,2026/6/20,2026年6月20日.,19:00,道志村,室久保地区,晴れ,山へ逃げてった。,近隣住民,山,現場確認及びパトロール実施。,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.4910883,139.0208553
92,2026/6/22,2026年6月22日.,15:00,身延町,相又地内,晴れ,山の中にいた。そのまま去っていった,近隣住民,山間部,防災無線による注意喚起,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.350585,138.420225
93,2026/6/22,2026年6月22日.,15:30,大月市,大月町真木,曇り,事業所の西側林道付近で目撃があり、山の方へ向かった,付近事業所従業員,山間部の公道,防災無線による注意喚起、警察パトロール実施,無し,不明,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.60358836,138.9113613
94,2026/6/23,2026年6月23日.,17:00,大月市,初狩町中初狩,曇り,工場付近で目撃があり、山の方へ向かった,大月警察署,山間部の公道,防災無線による注意喚起、警察パトロール実施,無し,不明,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.59220873,138.8793692
95,2026/6/23,2026年6月23日.,20:00,山中湖村,平野地区,晴れ,親子でいた。西側の山林へ行った,近隣従業員,市街地（林地に隣接）,防災無線による注意喚起、HP掲載、パトロール実施,無し,オトナ・コドモ,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.44334508,138.9227114
96,2026/6/24,2026年6月24日.,9:00,丹波山村,あまめ平地内,晴れ,登山道を歩行中、目の前にクマを確認した。クマは山の方へ逃げて行った,登山者,登山道,防災無線による注意喚起、パトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.7917378,138.9282807
97,2026/6/26,2026年6月26日.,8:45,笛吹市,芦川町上芦川地内,雨,,,,,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,,
98,2026/6/26,2026年6月26日.,15:30,富士河口湖町,長浜,雨,森へ走っていった,猟友会員,山林内,特になし,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.514769,138.718681
99,2026/6/27,2026年6月27日.,19:00,身延町,身延地内,晴れ,ライブカメラにて確認。カメラ前を横断,ライブカメラ視聴者,山間部,関係機関へ連絡,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.376667,138.358836
100,2026/6/28,2026年6月28日.,18:00,北杜市,武川町柳澤,曇り,甲斐駒ヶ岳広域農道沿いを犬の散歩中に目撃、沢から道に出てきた後、沢の方向に戻っていった,近隣住民,道路上,林政課職員によるパトロール、各関係機関への情報共有、防災無線及び看板設置による周知,無し,不明,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.7787,138.33812
101,2026/6/29,2026年6月29日.,19:20,市川三郷町,黒沢地内,曇り,県道９号市川三郷身延線を市川方面から六郷方面に通行している際に対向車線をクマが市川方面に走って行った,通行人,山に挟まれた県道,防災無線による注意喚起を行い、警察・猟友会・担当職員によるパトロールを実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.52155,138.48235
102,2026/6/30,2026年6月30日.,13:00,富士河口湖町,長浜,曇り,森へ走っていった,猟友会会員,山林内,警察、猟友会へ情報共有、管内保育所、小学校へ情報共有,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.514769,138.718681
103,2026/7/1,2026年7月1日.,13:30,身延町,下部地内,晴れ,山へ折り返して行った,通行者,山間部,防災無線による注意喚起,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.415779,138.481617
104,2026/7/1,2026年7月1日.,14:45,北杜市,武川町柳澤,曇り,甲斐駒ヶ岳広域農道を車で走行中に目撃。目撃地点付近の住宅の庭から現れ､広域農道を北から南に横断した,近隣住民,道路上,林政課職員によるパトロール、各関係機関への情報共有、防災無線及び看板設置による周知,無し,オトナ・コドモ,3,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.7788,138.34017
105,2026/7/3,2026年7月3日.,12:30,丹波山村,保之瀬地内,曇りときどき雨,国道を自動車で通行中、目の前にクマを確認した。クマは谷の方へ逃げて行った,通行人,国道,防災無線による注意喚起、パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.78902761,138.94183
106,2026/7/4,2026年7月4日.,16:00,北杜市,白州町台ケ原及び白州町横手地内,晴れ,下山途中に50～100メートル程度の距離で発見。山頂方面に逃げて行った,登山者,登山道,林政課職員及び警察によるパトロール、市HP及び看板設置による周知,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.79788,138.33165
107,2026/7/4,2026年7月4日.,16:15,富士河口湖町,河口,曇り,木に登ってじゃれていた,運転者,山林内の国道,特になし,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.54009,138.768152
108,2026/7/4,2026年7月4日.,17:00,鳴沢村,京王２次別荘地付近,曇り,クマらしきもののフン,管理事務所,別荘地内,防災無線による注意喚起、HPでの注意喚起、パトロール実施,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.456928,138.708799
109,2026/7/5,2026年7月5日.,8:30,小菅村,橋立地内,雨,養魚場内で目撃,飼育員,養魚場内,地区放送による注意喚起、防災無線,無し,オトナ・コドモ,3,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.760782,138.93734
110,2026/7/5,2026年7月5日.,22:00,南アルプス市,芦安安通地内,曇り,瀬戸大橋付近の道路上で、クマ1頭を目撃した,観光客,河川近く,防災無線による注意喚起、パトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.63585,138.371305
111,2026/7/6,2026年7月6日.,11:00,富士川町,𣇃米地内,曇り,富士川町𣇃米地内、秋山橋（塩沢川上流）付近の農地で木に登り「すもも」を食べていた。目撃者に驚き、山の方に逃げていった,近隣住民,山沿いの農地,防災無線による注意喚起、役場職員によるパトロール実施,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.579367,138.44553
112,2026/7/7,2026年7月7日.,19:00,北杜市,須玉町若神子,晴れ,日野春駅方面から韮崎方面に車で走行中に熊らしき動物を目撃。その後は、山の方へ逃げて行った,ドライバー,道路上,林政課職員によるパトロール、各関係機関への情報共有、防災無線及び看板設置による周知,無し,オトナ・コドモ,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.784,138.40038
113,2026/7/8,2026年7月8日.,10:30,笛吹市,芦川町上芦川地内,晴れ,芦川町上芦川地内、すずらん群生地西側の山中で目撃、山に立ち去った,観光客,山林内,パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.557799,138.730204
114,2026/7/8,2026年7月8日.,12:30,笛吹市,芦川町上芦川地内,晴れ,芦川町上芦川地内、釈迦ヶ岳登山口付近の山中で目撃、山に立ち去った,一般人,山林内,パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.556082,138.71511
115,2026/7/8,2026年7月8日.,15:00,笛吹市,芦川町上芦川地内,晴れ,芦川町上芦川地内、釈迦ヶ岳登山口付近の山中で目撃、山に立ち去った,市職員,山林内,パトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.556082,138.71511
116,2026/7/9,2026年7月9日.,11:20,丹波山村,保之瀬地内,晴れ,国道を自動車で通行中、目の前にクマを確認した,通行人,国道,防災無線による注意喚起、パトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.78602816,138.9484691
117,2026/7/9,2026年7月9日.,13:30,富士吉田市,上吉田地内,曇り,車で走行中、約100ｍ先で車道を横断し山林内に入っていったところを目撃した,自動車運転手,山間部の公道,防災無線による注意喚起、市職員・猟友会によるパトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.448978,138.77556
118,2026/7/9,2026年7月9日.,16:30,上野原市,秋山地区安寺沢地内,晴れ,道路上を走っていて道路上を巌道峠方面に走って行き、川の方に行った,林業で目撃現場付近にいた方,道路,防災無線等による注意喚起、周辺パトロール,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.55256,139.097505
119,2026/7/10,2026年7月10日.,7:30,富士吉田市,上吉田地内,晴れ,公園内をランニング中に林と遊歩道の間の法面にいるところを目撃。直後に避難したためその後の行動は不明,ランナー,公園内の遊歩道,防災無線による注意喚起、市職員・猟友会によるパトロール実施。動物駆逐用煙火による追い払い,無し,オトナ・コドモ,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.4516731,138.7662483
120,2026/7/10,2026年7月10日.,11:30,都留市,小形山地内,晴れ,山中に佇んでおり、山の中に戻っていった,登山者,山中,市HPにて注意喚起、警察・猟友会・市とで情報共有,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.583207,138.904903
121,2026/7/10,2026年7月10日.,13:30,笛吹市,芦川町上芦川地内,晴れ,芦川町上芦川地内、すずらん群生地付近の道路上で目撃、山に立ち去った,従業員,山間部の公道,パトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.556388,138.73213
122,2026/7/10,2026年7月10日.,18:50,身延町,瀬戸地内,晴れ,山へ逃げて行った,通行者,山間部,防災無線による注意喚起,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.481897,138.526601
123,2026/7/11,2026年7月11日.,18:40,身延町,横根中地内,晴れ,山へ逃げて行った,通行者,山間部,防災無線による注意喚起,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.31749,138.439126
124,2026/7/12,2026年7月12日.,10:00,西桂町,下暮地地内,晴れ,西桂町下暮地地内、憩いの森公園付近で目撃、その後東側の山林に逃げた,登山者,山林,パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.53508764,38.8243704
125,2026/7/12,2026年7月12日.,10:00,甲州市,勝沼町上岩崎,晴れ,農道上にクマのものと思われる糞を発見。糞の状態から発見前日以降にされたものと思われる,近隣農家,市街地付近の果樹園,防災無線による注意喚起、パトロール実施,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.65088179,138.7288856
126,2026/7/12,2026年7月12日.,15:00,大月市,大月町真木,晴れ,子熊が通り過ぎた後に、親熊が仁王立ちで通った,林道管理業務の作業員,山林内,山林内のため、防災無線は流さなかったが、猟友会が注意喚起とパトロールを実施,無し,オトナ・コドモ,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.6857429,138.9233014
127,2026/7/13,2026年7月13日.,9:00,笛吹市,芦川町上芦川地内,晴れ,,,,,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.55435073,138.7142567
128,2026/7/14,2026年7月14日.,15:30,南アルプス市,芦安芦倉地内,晴れ,県営南アルプス林道「深沢」バス停の手前で、林道を横切って山側から沢へ下っていった,市職員,林道（南アルプス国立公園内）,関係各所へ連絡,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.658784,138.308096
129,2026/7/16,2026年7月16日.,15:30,上野原市,秋山地区栗谷地内,晴れ,道路を横切り、そのまま森へ入っていった,山梨リニアセンター巡回員,道路（林道）,防災無線等による注意喚起、周辺パトロール,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.5571,139.071948
130,2026/7/17,2026年7月17日.,17:00,甲州市,塩山上萩原,曇り,林道大ダル線の犬切峠より約1.5km地点を走行中、林内にいるところを目撃,工事作業員,林道沿い,,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.827279,138.819897
