No.,年月日,目撃年月日,時間,目撃市町村,場所,天候,目撃時のクマ,目撃時の目撃者の行動,目撃した環境,その後の対応,人身被害の有無,推定年齢,目撃頭数,注意事項,緯度,経度
149,2026/7/29,2026年7月29日.,16:30,都留市,朝日曽雌地内,晴れ,山側から農地を通り川側（北から南）へかけていった。,付近住民,山中,防災無線による注意喚起、警察署・猟友会・市とで情報共有。,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.570521,138.990955
150,2026/7/30,2026年7月30日.,7:10,身延町,下田原地内,晴れ,川の上流へ行った,通行者,山間部の集落,防災無線による注意喚起、ドローンによる周辺確認,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.462019,138.454836
151,2026/7/30,2026年7月30日.,17:10,富士吉田市,上吉田地内,晴れ,車で走行中、北麓公園方面へ車道を横断したところを目撃した。,自動車運転手,山間部の公道,防災無線による注意喚起、市職員・猟友会によるパトロール・動物駆逐用煙火による追い払い。,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.45623,138.76688
152,2026/7/30,2026年7月30日.,22:00,北杜市,武川町黒澤地内,晴れ,武川町黒澤地内在住の住民から、防犯カメラに写っているとのことで通報有。自宅南側の市道武川山高35号線から庭へ入り北側へ歩いて行ったとのこと。,近隣住民,民家の庭,防災無線及び市ホームページによる周知、各関係機関への情報共有。林政課職員によるパトロールの実施。,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.775717,138.348616
153,2026/8/2,2026年8月2日.,12:00,小菅村,三頭山,晴れ,目線が合い、数秒睨み合いが続いたが、大声で威嚇し山道から外れて林の中へ逃げていった。,登山者,登山道,注意喚起,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.738652,138.987686
154,2026/8/2,2026年8月2日.,14:00,早川町,薬袋,晴れ,県道を山の方に逃げていった,観光客,道路沿い,防災無線による注意喚起、パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.423427,138.352256
155,2026/8/2,2026年8月2日.,18:35,丹波山村,上岡地内,晴れ,農道を散歩中、目の前にクマを確認した。クマは逃げて行った。,近隣住民,農道,防災無線による注意喚起、パトロール実施,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.7932556,138.9176914
156,2026/8/3,2026年8月3日.,14:00,早川町,雨畑,晴れ,県営林道を下見原集落の方へ下っていった,工事業者,道路沿い,防災無線による注意喚起、パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.411026,138.335544
157,2026/8/3,2026年8月3日.,17:00,道志村,下善之木地区,晴れ,村道脇の屋外に設置されていた冷蔵庫が荒らされており、足跡からクマが出没したことを確認した。,近隣住民,村道,告知端末による注意喚起、現場確認及びパトロール実施。,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,"35.49557612608502, ",138.9893191
158,2026/8/4,2026年8月4日.,22:50,中央市,高部地内,晴れ,浅利橋南の土手を南進,近隣住民,市街地,警察署及び市産業課でパトロール、防災無線による注意喚起,無し,オトナ・コドモ,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.585734,138.551425
