No.,年月日,目撃年月日,時間,目撃市町村,場所,天候,目撃時のクマ,目撃時の目撃者の行動,目撃した環境,その後の対応,人身被害の有無,推定年齢,目撃頭数,注意事項,緯度,経度
177,2026/8/20,2026年8月20日.,7:00,南アルプス市,東南湖地内,曇り,南アルプス市東南湖地内、横川、高橋付近でクマの足跡らしきものを発見。足跡には蹴ったような跡があり、方面や正確な大きさなどは不明。,付近の畑所有者,市街地付近の畑,"関係各所への連絡,パトロール実施,ワナ設置,防災無線による注意喚起",無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.57480795,138.4925311
178,2026/8/20,2026年8月20日.,10:30,都留市,朝日曽雌地内,晴れ,県道四日市場上野原線北側の山林から1頭のクマが飛び出し車と接触、北側の山林に戻っていった。車に被害は無し。クマは成獣と思われる。,通行者,山中の県道,防災無線による注意喚起、警察署・猟友会・市とで情報共有。,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.562507,138.997048
179,2026/8/20,2026年8月20日.,14:00,大月市,七保町瀬戸,晴れ,小寺バス停付近の目撃があり、山の方面へ向かった。,近隣住民,山間部の公道（国道）,防災無線による注意喚起、警察パトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.68471131,138.9692996
180,2026/8/20,2026年8月20日.,18:30,身延町,波木井地内,晴れ,国道を横断、山へ行った。,通行者,国道沿い,防災無線による注意喚起,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.393636,138.442542
181,2026/8/21,2026年8月21日.,18:45,中央市,笛吹川河川敷,雨,笛吹川河川敷にいるのを目撃,通行者,河川,パトロール実施,無し,オトナ・コドモ,2,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.589565,138.545191
182,2026/8/22,2026年8月22日.,8:10,富士河口湖町,船津,晴れ,道を横切って森へ入っていった,運転者,林内の町道,防災無線による注意喚起、パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.482436,138.764404
183,2026/8/24,2026年8月24日.,12:00,北杜市,武川町柳澤地内,晴れ,広域農道を車で走行中、北側にあるフェンスを乗り越え降りているところを目撃。,近隣住民,山間部の公道,防災無線及びホームページによる周知、林政課職員によるパトロール、各関係機関への情報共有,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.77827,138.34836
184,2026/8/27,2026年8月27日.,9:30,上野原市,巌地区当月地内,曇り,目撃者がいた近くの畑にいて、山の方へ行った。,近隣住民,畑,防災無線等による注意喚起、周辺パトロール,無し,オトナ・コドモ,3,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.614283,139.085497
185,2026/8/28,2026年8月28日.,8:15,市川三郷町,市川大門地区,曇り,目撃者が金川曽根広域農道を通行中、農道を北から南に横切り、そのまま南の山へ逃げた。,通勤中の方,広域農道,防災無線による注意喚起を行い、教育委員会への情報提供及び猟友会・担当職員によるパトロールを実施。,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.556129,138.5109
186,2026/8/29,2026年8月29日.,21:30,丹波山村,熊倉地内,晴れ,国道411号を車で通行中、道路わきでクマを目撃した,近隣住民,山間部の国道,防災無線による注意喚起、パトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.79416967,138.9025956
187,2026/8/30,2026年8月30日.,18:30,甲府市,古関町地内,不明,大型獣の痕跡（毛・爪痕等）を発見。,-,山間部の集落,"パトロール実施,注意喚起,施設の利用制限",無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.532823,138.606472
188,2026/8/30,2026年8月30日.,21:15,北杜市,長坂町長坂上条地内,晴れ,自転車で走行中、甲陵高校東側交差点を南東の道沿いに走っていくところを目撃。,近隣住民,市街地,市インフォメールへの通報（8月31日12時42分）防災無線や市HPによる周知及び関係機関への共有、林政課職員によるパトロール,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.82534,138.38007
189,2026/8/31,2026年8月31日.,15:10,上野原市,大目地区花坂地内,曇り,道路を横切り、そのまま森へ入っていった。,通行人,道路,防災無線等による注意喚起、周辺パトロール,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.62783891,139.0587528
190,2026/9/2,2026年9月2日.,12:00,富士吉田市,松山地内,曇り,車内から目撃。しばらく対峙した後、クマが木に登ったため避難した。,自動車運転手,林間部の公道,市職員・地元猟友会によるパトロール・動物駆逐用煙火による追い払いを実施。,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.4731469,138.7713743
